"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","53.8901405334473","54.216911315918","54.637809753418","55.1193237304688","55.631103515625","56.1685600280762","56.7365493774414","57.3417816162109","57.9831085205078","58.6743431091309","59.4047584533691","60.1647491455078","60.9389266967773","61.7463874816895","62.5686264038086","63.4224052429199","64.2961273193359","65.1615447998047","65.9541854858398","66.6350479125977","67.1884002685547","67.6088943481445","67.9088134765625","68.082633972168","68.1538391113281","68.0990982055664","67.9421005249023","67.7587280273438","67.6907196044922","67.7962265014648","68.1274490356445","68.6084823608398","69.0984573364258","69.473274230957","69.6698455810547","69.6844787597656","69.5706100463867","69.397087097168","69.2665481567383","69.2421112060547","69.3500137329102","69.5478744506836","69.7655029296875","69.9175643920898","69.9383163452148","69.8105697631836","69.5630264282227","69.2640914916992","69.0202941894531","68.8908157348633","68.9037780761719","69.0312957763672","69.2821952949636","",
"Andorra","AND","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","53.7738914489746","53.7300872802734","53.682071685791","53.6027717590332","53.4760780334473","53.2989540100098","53.0830764770508","52.8460006713867","52.6111793518066","52.3953475952148","52.2016792297363","52.0265464782715","51.8698616027832","51.7296371459961","51.6030235290527","51.491268157959","51.3925247192383","51.2962493896484","51.1880569458008","51.0567207336426","50.8931198120117","50.6963806152344","50.4749984741211","50.248462677002","50.0373191833496","49.8448944091797","49.6709365844727","49.5359764099121","49.4654502868652","49.4685745239258","49.5550880432129","49.6894989013672","49.799690246582","49.8233070373535","49.738353729248","49.5414886474609","49.2610740661621","48.9478454589844","48.6742744445801","48.4927787780762","48.4255981445313","48.4506988525391","48.5273857116699","48.6041984558105","48.6548919677734","48.6722869873047","48.6846580505371","48.7433967590332","48.9127769470215","49.2320709228516","49.7050628662109","50.3073348999023","51.0277210996687","",
"Angola","AGO","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","53.236385345459","52.8687744140625","52.5083923339844","52.1846046447754","51.916332244873","51.7083854675293","51.5527420043945","51.438892364502","51.351448059082","51.2789192199707","51.2189865112305","51.1723022460938","51.1338577270508","51.0989151000977","51.0635414123535","51.0254974365234","50.9835395812988","50.9363441467285","50.8833656311035","50.8243713378906","50.7612113952637","50.6943588256836","50.6212120056152","50.5382461547852","50.4439163208008","50.3365097045898","50.2198944091797","50.1051177978516","50.0065612792969","49.933780670166","49.8885688781738","49.8659782409668","49.8601570129395","49.8632431030273","49.8694496154785","49.8787040710449","49.8910140991211","49.9013366699219","49.9040069580078","49.8959121704102","49.879150390625","49.8570137023926","49.8301887512207","49.7995109558105","49.7674026489258","49.7340888977051","49.704963684082","49.6927680969238","49.7121696472168","49.7721748352051","49.8742980957031","50.0142097473145","50.0971980779464","",
"Albania","ALB","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","52.5528755187988","52.1649551391602","51.8284912109375","51.6023979187012","51.5221138000488","51.5929870605469","51.7923965454102","52.0901527404785","52.4462089538574","52.8310394287109","53.2396965026855","53.6726455688477","54.1140022277832","54.5476036071777","54.9636688232422","55.3556823730469","55.7269897460938","56.0891456604004","56.4576034545898","56.842170715332","57.2373886108398","57.6373062133789","58.0476875305176","58.4740409851074","58.9147911071777","59.3733825683594","59.8368377685547","60.2733955383301","60.6498985290527","60.9511451721191","61.1774291992188","61.3455772399902","61.4781341552734","61.6050796508789","61.749095916748","61.9128227233887","62.0933685302734","62.300537109375","62.5458068847656","62.8378715515137","63.1858177185059","63.5879249572754","64.0287551879883","64.4841079711914","64.9339981079102","65.3623580932617","65.7706604003906","66.1755599975586","66.604118347168","67.0697784423828","67.5780334472656","68.104377746582","68.6431130527459","",
"Andean Region","ANR","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","53.0787822523871","52.7305023381909","52.4145331991144","52.1491205464027","51.9449647756683","51.8046735383049","51.7208371055127","51.6811828606919","51.6697663882901","51.6752912280229","51.6951816215456","51.7305690104672","51.7790315690438","51.8385098317846","51.907311903506","51.9827595374596","52.063840632943","52.1523665392997","52.2513326350914","52.3623412802192","52.4896830681697","52.63149264842","52.7774987843333","52.9144197195514","53.0385173488648","53.1454728980814","53.2448993930384","53.3602417982041","53.5189160926417","53.7059037685031","53.9869058380773","54.2315428443451","54.6110190166065","55.016092057961","55.5337734248839","55.9676803326862","56.416782299701","56.8833095496495","57.3674118819798","57.8673579769725","58.3767798946176","58.8891271535281","59.4010052167797","59.9126846199588","60.4193830850891","60.921313973334","61.4098833062839","61.8637964702866","62.259046303689","62.5819613060191","62.8304805787389","63.0143717376416","63.1322676121267","",
"United Arab Emirates","ARE","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","54.7034072875977","56.3829574584961","58.0066452026367","59.2555656433105","60.0891075134277","60.5226593017578","60.7761726379395","61.212532043457","62.1703453063965","63.6386795043945","65.2875900268555","66.8216323852539","68.1303405761719","69.1655883789063","69.9269027709961","70.5233764648438","70.9698638916016","71.1747360229492","71.0623550415039","70.6350326538086","69.9175720214844","69.0094451904297","68.0668563842773","67.287483215332","66.8030700683594","66.6057205200195","66.6365432739258","66.8884582519531","67.3470840454102","67.9847412109375","68.8280715942383","69.8285140991211","70.8264389038086","71.6456604003906","72.2042922973633","72.5368194580078","72.7475280761719","72.9283294677734","73.1867141723633","73.6108016967773","74.0849304199219","74.6367568969727","75.5693969726563","77.1230621337891","79.1351089477539","81.314323425293","83.25439453125","84.6770248413086","85.5032958984375","85.805549621582","85.6755905151367","85.2308654785156","84.2885541168969","",
"Argentina","ARG","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","63.5861473083496","63.5451049804688","63.5274238586426","63.5282669067383","63.5426177978516","63.5666847229004","63.5958213806152","63.622802734375","63.6393890380859","63.6379241943359","63.6224632263184","63.5892639160156","63.5158996582031","63.3749389648438","63.1519050598145","62.8401336669922","62.457275390625","62.0427169799805","61.6481246948242","61.3097953796387","61.0409507751465","60.8329658508301","60.6731796264648","60.5410995483398","60.4236793518066","60.3157844543457","60.2262229919434","60.171703338623","60.1742477416992","60.2462463378906","60.3935699462891","60.6036796569824","60.848560333252","61.0914535522461","61.3076362609863","61.4870300292969","61.6388969421387","61.7816162109375","61.941722869873","62.1366500854492","62.3691253662109","62.6290893554688","62.9052543640137","63.1815223693848","63.4455108642578","63.6941604614258","63.9280891418457","64.1431198120117","64.3353729248047","64.502082824707","64.6428070068359","64.7575759887695","64.8180826799127","",
"Armenia","ARM","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","54.3859367370605","53.7161178588867","53.220085144043","52.927906036377","52.8533325195313","52.9954719543457","53.3365440368652","53.8490409851074","54.4978981018066","55.2508163452148","56.091609954834","57.0035743713379","57.9546585083008","58.9118003845215","59.847469329834","60.7556610107422","61.6243515014648","62.4175033569336","63.0938606262207","63.6271781921387","64.0048217773438","64.2400588989258","64.3647003173828","64.4225769042969","64.4443893432617","64.4509582519531","64.4370880126953","64.3795013427734","64.2429580688477","64.0077896118164","63.6506538391113","63.1906318664551","62.7060241699219","62.3224487304688","62.1446647644043","62.2293586730957","62.553337097168","63.0491981506348","63.6070938110352","64.1450653076172","64.6361694335938","65.0970001220703","65.5421295166016","66.0021057128906","66.4963912963867","67.0277252197266","67.5745391845703","68.1039886474609","68.5699615478516","68.9372940063477","69.1929779052734","69.3447570800781","69.4020223304304","",
